"Código","Nome","UF","Latitude","Longitude","Altitude","Fundação","DataFinal"
"A838","CAMAQUA","RS",-30.808,-51.8342,92.3,"2006-12-12","2022-12-31"
"A839","PASSO FUNDO","RS",-28.2268,-52.4036,680.67,"2006-11-27","2022-12-31"
"A840","BENTO GONCALVES","RS",-29.1646,-51.5342,623.27,"2006-12-01","2022-12-31"
"A844","LAGOA VERMELHA","RS",-28.2224,-51.5128,833.83,"2007-03-02","2022-12-31"
"A852","SAO LUIZ GONZAGA","RS",-28.4172,-54.9625,245.5,"2007-07-25","2022-12-31"
"A853","CRUZ ALTA","RS",-28.6034,-53.6736,426.69,"2007-05-31","2022-12-31"
"A854","FREDERICO WESTPHALEN","RS",-27.3957,-53.4294,489.42,"2007-12-14","2022-12-31"
"A856","PALMEIRA DAS MISSOES","RS",-27.9203,-53.3181,614.11,"2008-02-26","2022-12-31"
"A878","MOSTARDAS","RS",-31.2483,-50.9064,3.82,"2008-03-11","2022-12-31"
"A879","CANELA","RS",-29.3689,-50.8272,830.93,"2008-08-23","2022-12-31"
"A880","VACARIA","RS",-28.5136,-50.8827,969.89,"2008-04-26","2022-12-31"
"A881","DOM PEDRITO","RS",-31.0025,-54.6181,150,"2010-04-23","2022-12-31"
"A882","TEUTONIA","RS",-29.4492,-51.8233,80.41,"2012-10-04","2022-12-31"
"A883","IBIRUBA","RS",-28.6535,-53.1119,455.27,"2012-12-13","2022-12-31"
"A884","CAMPO BOM","RS",-29.6743,-51.064,23.35,"2013-11-29","2022-12-31"
"A886","TUPANCIRETA","RS",-29.0894,-53.8267,462,"2016-08-11","2022-12-31"
"A887","CAPAO DO LEAO (PELOTAS)","RS",-31.8025,-52.4072,13,"2019-07-18","2022-12-31"
"A889","SAO VICENTE DO SUL","RS",-29.7022,-54.6944,134,"2016-04-06","2022-12-31"
"A893","ENCRUZILHADA DO SUL","RS",-30.5431,-52.5247,427.75,"2018-03-15","2022-12-31"
"A894","SERAFINA CORREA","RS",-28.7048,-51.8708,545,"2016-04-01","2022-12-31"
"A897","CAMBARA DO SUL","RS",-29.0492,-50.1497,1017,"2016-11-24","2022-12-31"
"A899","Santa Vitoria do Palmar - Barra do Chui","RS",-33.7422,-53.3722,7.41,"2008-03-08","2022-12-31"
"A806","FLORIANOPOLIS","SC",-27.6025,-48.6201,4.87,"2003-01-22","2022-12-31"
"A814","URUSSANGA","SC",-28.5325,-49.3153,40.56,"2008-05-29","2022-12-31"
"A815","SAO JOAQUIM","SC",-28.2756,-49.9346,1400.06,"2008-04-12","2022-12-31"
"A816","NOVO HORIZONTE","SC",-26.4064,-52.8503,943.57,"2008-09-20","2022-12-31"
"A817","INDAIAL","SC",-26.9137,-49.2681,72.24,"2006-07-02","2022-12-31"
"A841","JOACABA","SC",-27.1692,-51.5589,767.63,"2007-09-20","2022-12-31"
"A845","BOM JARDIM DA SERRA - MORRO DA IGREJA","SC",-28.1269,-49.4797,1790.38,"2007-06-17","2022-12-31"
"A848","DIONISIO CERQUEIRA","SC",-26.2866,-53.6331,807.54,"2008-05-31","2022-12-31"
"A851","ITAPOA","SC",-26.0814,-48.6418,6.18,"2007-06-06","2022-12-31"
"A857","SAO MIGUEL DO OESTE","SC",-26.7764,-53.5042,700,"2008-03-12","2022-12-31"
"A858","XANXERE","SC",-26.9387,-52.3981,878.74,"2008-03-15","2022-12-31"
"A859","CACADOR","SC",-26.8192,-50.9855,944.26,"2008-03-19","2022-12-31"
"A860","CURITIBANOS","SC",-27.2886,-50.6043,978.1,"2008-02-28","2022-12-31"
"A861","RIO DO CAMPO","SC",-26.9375,-50.1456,591.67,"2008-03-10","2022-12-31"
"A862","RIO NEGRINHO","SC",-26.2484,-49.5742,800,"2008-03-22","2022-12-31"
"A863","ITUPORANGA","SC",-27.4184,-49.6469,479.79,"2008-03-04","2022-12-31"
"A864","MAJOR VIEIRA","SC",-26.3937,-50.3632,799.58,"2009-02-09","2022-12-31"
"A865","LAGES","SC",-27.8022,-50.3355,952.7,"2014-11-06","2022-12-31"
"A866","Laguna  - Farol de Santa Marta","SC",-28.6044,-48.8133,34.36,"2008-06-01","2022-12-31"
"A867","ARARANGUA","SC",-28.9314,-49.4979,2,"2008-09-28","2022-12-31"
"A868","ITAJAI","SC",-26.9509,-48.762,9.76,"2010-06-24","2022-12-31"
"A870","RANCHO QUEIMADO","SC",-27.6785,-49.042,881,"2016-05-31","2022-12-31"
"A895","CHAPECO","SC",-27.0853,-52.6357,679,"2019-02-19","2022-12-31"
"A898","CAMPOS NOVOS","SC",-27.3886,-51.2158,963,"2019-02-15","2022-12-31"
"A612","VITORIA","ES",-20.2708,-40.3058,9,"2006-10-31","2022-12-31"
"A613","SANTA TERESA","ES",-19.9884,-40.5796,975.92,"2007-08-09","2022-12-31"
"A614","LINHARES","ES",-19.3569,-40.0687,37.82,"2006-10-27","2022-12-31"
"A615","ALFREDO CHAVES","ES",-20.6365,-40.7419,14.19,"2006-11-03","2022-12-31"
"A616","SAO MATEUS","ES",-18.6761,-39.8642,28.66,"2006-10-25","2022-12-31"
"A617","ALEGRE","ES",-20.7506,-41.4889,138,"2006-10-25","2022-12-31"
"A622","PRESIDENTE KENNEDY","ES",-21.1008,-41.0394,69.12,"2008-06-18","2022-12-31"
"A623","NOVA VENECIA","ES",-18.6953,-40.3906,156.02,"2008-06-22","2022-12-31"
"A631","ECOPORANGA","ES",-18.2914,-40.7364,224,"2017-03-17","2022-12-31"
"A632","MARILANDIA","ES",-19.4072,-40.5398,95,"2017-03-22","2022-12-31"
"A633","VENDA NOVA DO IMIGRANTE","ES",-20.3856,-41.1899,722,"2017-02-10","2022-12-31"
"A634","VILA VELHA","ES",-20.4671,-40.4039,25,"2017-02-15","2022-12-31"
"A657","AFONSO CLAUDIO","ES",-20.1042,-41.1069,507.48,"2011-09-24","2022-12-31"
"A502","BARBACENA","MG",-21.2283,-43.7678,1168.76,"2002-12-05","2022-12-31"
"A505","ARAXA","MG",-19.6058,-46.9497,1018.32,"2002-12-19","2022-12-31"
"A506","MONTES CLAROS","MG",-16.6864,-43.8439,645.87,"2002-12-19","2022-12-31"
"A507","UBERLANDIA","MG",-18.9169,-48.2557,874.77,"2002-12-18","2022-12-31"
"A508","ALMENARA","MG",-16.1668,-40.6878,189.11,"2002-12-15","2022-12-31"
"A509","MONTE VERDE","MG",-22.8617,-46.0434,1544.89,"2004-12-19","2022-12-31"
"A510","VICOSA","MG",-20.7626,-42.864,697.64,"2005-09-15","2022-12-31"
"A511","TIMOTEO","MG",-19.5739,-42.6225,493.42,"2006-02-22","2022-12-31"
"A512","ITUIUTABA","MG",-18.9529,-49.5251,540.08,"2006-05-12","2022-12-31"
"A513","OURO BRANCO","MG",-20.5567,-43.7561,1048.2,"2006-07-28","2022-12-31"
"A514","SAO JOAO DEL REI","MG",-21.1065,-44.2509,929.88,"2006-06-09","2022-12-31"
"A515","VARGINHA","MG",-21.5664,-45.4042,949.78,"2006-07-13","2022-12-31"
"A516","PASSOS","MG",-20.7452,-46.6339,781.7,"2006-07-16","2022-12-31"
"A517","MURIAE","MG",-21.105,-42.3759,282.79,"2006-08-30","2022-12-31"
"A518","JUIZ DE FORA","MG",-21.77,-43.3643,936.88,"2007-05-26","2022-12-31"
"A519","CAMPINA VERDE","MG",-19.5392,-49.5181,559.07,"2006-07-15","2022-12-31"
"A520","CONCEICAO DAS ALAGOAS","MG",-19.9859,-48.1516,572.54,"2006-07-18","2022-12-31"
"A521","BELO HORIZONTE (PAMPULHA)","MG",-19.8839,-43.9694,854.02,"2006-10-10","2022-12-31"
"A522","SERRA DOS AIMORES","MG",-17.7989,-40.25,211.97,"2006-08-21","2022-12-31"
"A523","PATROCINIO","MG",-18.9967,-46.9859,978.11,"2006-08-22","2022-12-31"
"A524","FORMIGA","MG",-20.455,-45.4538,878.14,"2006-08-17","2022-12-31"
"A525","SACRAMENTO","MG",-19.8753,-47.4341,913.12,"2006-08-19","2022-12-31"
"A526","MONTALVANIA","MG",-14.4083,-44.4042,519.52,"2007-06-26","2022-12-31"
"A527","TEOFILO OTONI","MG",-17.8928,-41.5154,467.17,"2006-08-25","2022-12-31"
"A528","TRES MARIAS","MG",-18.2009,-45.4598,931.01,"2006-08-25","2022-12-31"
"A529","PASSA QUATRO","MG",-22.3958,-44.9619,1017.1,"2007-05-30","2022-12-31"
"A530","CALDAS","MG",-21.9181,-46.383,1077.34,"2006-11-28","2022-12-31"
"A531","MARIA DA FE","MG",-22.3146,-45.373,1281.43,"2006-12-01","2022-12-31"
"A532","GOVERNADOR VALADARES","MG",-18.8304,-41.977,198.24,"2007-05-27","2022-12-31"
"A533","GUANHAES","MG",-18.7869,-42.9429,852.68,"2007-06-02","2022-12-31"
"A534","AIMORES","MG",-19.5328,-41.0908,287.74,"2007-08-05","2022-12-31"
"A535","FLORESTAL","MG",-19.8853,-44.4169,753.5,"2008-06-27","2022-12-31"
"A536","DORES DO INDAIA","MG",-19.4819,-45.5939,721.09,"2007-06-01","2022-12-31"
"A537","DIAMANTINA","MG",-18.2311,-43.6483,1359.25,"2007-06-05","2022-12-31"
"A538","CURVELO","MG",-18.7477,-44.4538,669.48,"2006-12-18","2022-12-31"
"A539","MOCAMBINHO","MG",-15.086,-44.016,454,"2007-11-11","2022-12-31"
"A540","MANTENA","MG",-18.7806,-40.9865,254.91,"2007-08-01","2022-12-31"
"A541","CAPELINHA","MG",-17.7056,-42.3893,932.06,"2007-08-31","2022-12-31"
"A542","UNAI","MG",-16.5542,-46.8819,640.85,"2007-06-16","2022-12-31"
"A543","ESPINOSA","MG",-14.9122,-42.8086,565.36,"2007-11-14","2022-12-31"
"A544","BURITIS","MG",-15.5243,-46.4355,894,"2007-06-19","2022-12-31"
"A545","PIRAPORA","MG",-17.2581,-44.8356,505.32,"2007-07-04","2022-12-31"
"A546","GUARDA-MOR","MG",-17.5614,-47.1992,997.01,"2007-07-11","2022-12-31"
"A547","SAO ROMAO","MG",-16.3628,-45.1238,490.29,"2007-06-30","2022-12-31"
"A548","CHAPADA GAUCHA","MG",-15.3003,-45.6175,873.2,"2007-06-22","2022-12-31"
"A549","AGUAS VERMELHAS","MG",-15.7515,-41.4578,754.07,"2007-09-09","2022-12-31"
"A550","ITAOBIM","MG",-16.5757,-41.4856,271.63,"2007-09-05","2022-12-31"
"A551","RIO PARDO DE MINAS","MG",-15.7231,-42.4358,850.06,"2007-11-17","2022-12-31"
"A552","SALINAS","MG",-16.1603,-42.3103,487.14,"2007-09-14","2022-12-31"
"A553","JOAO PINHEIRO","MG",-17.7844,-46.1194,877.05,"2007-07-07","2022-12-31"
"A554","CARATINGA","MG",-19.7358,-42.1371,609.25,"2007-05-24","2022-12-31"
"A555","IBIRITE (ROLA MOCA)","MG",-20.0315,-44.0112,1198.82,"2008-06-06","2022-12-31"
"A556","MANHUACU","MG",-20.2633,-42.1828,819.47,"2010-09-25","2022-12-31"
"A557","CORONEL PACHECO","MG",-21.5467,-43.261,411.14,"2012-10-17","2022-12-31"
"A559","JANUARIA","MG",-15.4481,-44.3663,468,"2016-06-23","2022-12-31"
"A561","SAO SEBASTIAO DO PARAISO","MG",-20.9099,-47.1143,845,"2015-08-17","2022-12-31"
"A562","PATOS DE MINAS","MG",-18.5207,-46.4406,950,"2017-05-12","2022-12-31"
"A563","NOVA PORTEIRINHA (JANAUBA)","MG",-15.8028,-43.2969,532,"2016-11-19","2022-12-31"
"A564","DIVINOPOLIS","MG",-20.1733,-44.875,796,"2017-10-26","2022-12-31"
"A565","BAMBUI","MG",-20.0311,-46.0089,697,"2016-11-23","2022-12-31"
"A566","ARACUAI","MG",-16.8489,-42.0353,308,"2017-05-19","2022-12-31"
"A567","MACHADO","MG",-21.6807,-45.9444,969,"2017-07-21","2022-12-31"
"A568","UBERABA","MG",-19.71,-47.9619,778,"2017-05-19","2022-12-31"
"A569","SETE LAGOAS","MG",-19.4553,-44.1734,719,"2016-06-10","2022-12-31"
"A570","OLIVEIRA","MG",-20.715,-44.8646,1025,"2017-10-19","2022-12-31"
"A571","PARACATU","MG",-17.2444,-46.8817,705,"2018-03-16","2022-12-31"
"F501","BELO HORIZONTE - CERCADINHO","MG",-19.98,-43.9587,1199.55,"2013-12-27","2022-12-31"
"A601","SEROPEDICA-ECOLOGIA AGRICOLA","RJ",-22.7578,-43.6847,35,"2000-05-07","2022-12-31"
"A602","RIO DE JANEIRO-MARAMBAIA","RJ",-23.0503,-43.5956,12,"2002-11-08","2022-12-31"
"A603","DUQUE DE CAXIAS - XEREM","RJ",-22.5897,-43.2822,22,"2002-10-21","2022-12-31"
"A604","CAMBUCI","RJ",-21.5875,-41.9583,46,"2002-11-20","2022-12-31"
"A606","ARRAIAL DO CABO","RJ",-22.9753,-42.0214,5,"2006-09-24","2022-12-31"
"A607","CAMPOS DOS GOYTACAZES","RJ",-21.7147,-41.3439,17,"2006-09-25","2022-12-31"
"A608","MACAE","RJ",-22.3761,-41.8119,28,"2006-09-22","2022-12-31"
"A609","RESENDE","RJ",-22.4514,-44.445,438.83,"2006-09-29","2022-12-31"
"A610","PICO DO COUTO","RJ",-22.4647,-43.2914,1777,"2006-10-22","2022-12-31"
"A611","VALENCA","RJ",-22.3581,-43.6956,370,"2006-09-27","2022-12-31"
"A618","TERESOPOLIS-PARQUE NACIONAL","RJ",-22.4486,-42.9869,981,"2006-11-01","2022-12-31"
"A619","PARATY","RJ",-23.2236,-44.7269,3,"2006-11-19","2022-12-31"
"A620","CAMPOS DOS GOYTACAZES - SAO TOME","RJ",-22.0417,-41.0517,7,"2008-06-13","2022-12-31"
"A621","RIO DE JANEIRO - VILA MILITAR","RJ",-22.8614,-43.4114,30.43,"2007-04-13","2022-12-31"
"A624","NOVA FRIBURGO - SALINAS","RJ",-22.3347,-42.6769,1070,"2010-09-17","2022-12-31"
"A625","TRES RIOS","RJ",-22.0983,-43.2083,295,"2016-06-08","2022-12-31"
"A626","RIO CLARO","RJ",-22.6536,-44.0409,516,"2016-06-03","2022-12-31"
"A627","NITEROI","RJ",-22.8674,-43.1021,6,"2018-07-13","2022-12-31"
"A628","ANGRA DOS REIS","RJ",-22.9756,-44.3034,6,"2017-08-25","2022-12-31"
"A629","CARMO","RJ",-21.9387,-42.6009,293,"2018-10-11","2022-12-31"
"A630","SANTA MARIA MADALENA","RJ",-21.9506,-42.0103,517,"2018-10-16","2022-12-31"
"A635","ITATIAIA","RJ",-22.3739,-44.7031,2450,"2017-09-01","2021-12-31"
"A636","RIO DE JANEIRO - JACAREPAGUA","RJ",-22.94,-43.4029,20,"2017-08-10","2022-12-31"
"A652","RIO DE JANEIRO - FORTE DE COPACABANA","RJ",-22.9883,-43.1906,25.59,"2007-05-18","2022-12-31"
"A659","SILVA JARDIM","RJ",-22.6458,-42.4156,19,"2015-08-28","2022-12-31"
"A667","SAQUAREMA - SAMPAIO CORREIA","RJ",-22.8711,-42.6089,26,"2015-09-02","2022-12-31"
"A701","SAO PAULO - MIRANTE","SP",-23.4964,-46.62,785.64,"2006-07-25","2022-12-31"
"A705","BAURU","SP",-22.3581,-49.0289,636.17,"2001-08-30","2022-12-31"
"A706","CAMPOS DO JORDAO","SP",-22.7502,-45.6038,1662.95,"2002-03-13","2022-12-31"
"A707","PRESIDENTE PRUDENTE","SP",-22.1199,-51.4086,431.92,"2003-02-04","2022-12-31"
"A708","FRANCA","SP",-20.5844,-47.3825,1002.74,"2002-12-12","2022-12-31"
"A711","SAO CARLOS","SP",-21.9804,-47.8839,859.29,"2006-09-04","2022-12-31"
"A712","IGUAPE","SP",-24.6717,-47.5458,2.7,"2006-07-20","2022-12-31"
"A713","SOROCABA","SP",-23.4261,-47.5856,609.33,"2006-08-22","2022-12-31"
"A714","ITAPEVA","SP",-23.9819,-48.8858,743.33,"2006-07-25","2022-12-31"
"A715","SAO MIGUEL ARCANJO","SP",-23.8519,-48.1647,675.68,"2006-08-15","2022-12-31"
"A716","OURINHOS","SP",-22.9489,-49.8944,443.49,"2006-08-29","2021-12-31"
"A718","RANCHARIA","SP",-22.3728,-50.9747,398.75,"2006-09-01","2022-12-31"
"A725","AVARE","SP",-23.1017,-48.9411,776.36,"2006-09-22","2022-12-31"
"A726","PIRACICABA","SP",-22.7031,-47.6233,566.46,"2006-09-26","2022-12-31"
"A727","LINS","SP",-21.6661,-49.7347,460.65,"2006-09-20","2022-12-31"
"A728","TAUBATE","SP",-23.0417,-45.5208,582.26,"2006-12-20","2022-12-31"
"A729","VOTUPORANGA","SP",-20.4033,-49.9661,510.37,"2006-12-04","2021-12-31"
"A733","JALES","SP",-20.165,-50.5951,460.44,"2007-08-22","2022-12-31"
"A734","VALPARAISO","SP",-21.3191,-50.9302,381.9,"2007-08-30","2022-12-31"
"A735","JOSE BONIFACIO","SP",-21.0857,-49.9203,408.35,"2007-09-03","2022-12-31"
"A736","ARIRANHA","SP",-21.1331,-48.8406,525.44,"2007-11-13","2022-12-31"
"A737","IBITINGA","SP",-21.8556,-48.7997,496.75,"2007-11-09","2022-12-31"
"A738","CASA BRANCA","SP",-21.7806,-47.0753,734.15,"2007-06-25","2022-12-31"
"A739","ITAPIRA","SP",-22.4151,-46.8053,634.89,"2007-11-05","2022-12-31"
"A740","SAO LUIZ DO PARAITINGA","SP",-23.2283,-45.4169,862.3,"2007-11-01","2022-12-31"
"A741","BARRA BONITA","SP",-22.4711,-48.5575,533.68,"2008-04-24","2022-12-31"
"A744","BRAGANCA PAULISTA","SP",-22.9519,-46.5306,891,"2017-12-20","2022-12-31"
"A746","BARRA DO TURVO","SP",-24.9628,-48.4164,659.89,"2008-07-03","2022-12-31"
"A747","PRADOPOLIS","SP",-21.3384,-48.114,540.41,"2008-04-22","2022-12-31"
"A748","BARRETOS","SP",-20.5592,-48.545,534.36,"2010-06-19","2022-12-31"
"A753","ITUVERAVA","SP",-20.3597,-47.7753,610.58,"2008-07-17","2022-12-31"
"A755","BARUERI","SP",-23.5239,-46.8694,776.5,"2011-03-29","2022-12-31"
"A762","DRACENA","SP",-21.4577,-51.5523,720,"2016-11-03","2022-12-31"
"A763","MARILIA","SP",-22.2352,-49.9651,660,"2017-05-15","2022-12-31"
"A764","BEBEDOURO","SP",-20.9492,-48.49,790,"2016-10-27","2021-12-31"
"A765","BERTIOGA","SP",-23.8447,-46.1433,5,"2017-02-01","2022-12-31"
"A766","REGISTRO","SP",-24.5331,-47.8641,35,"2017-02-09","2022-12-31"
"A767","SAO SEBASTIAO","SP",-23.8107,-45.4025,24,"2017-10-25","2021-12-31"
"A768","TUPA","SP",-21.9273,-50.4903,498,"2017-05-12","2022-12-31"
"A769","CACHOEIRA PAULISTA","SP",-22.689,-45.0054,586,"2017-10-20","2022-12-31"
"A770","SAO SIMAO","SP",-21.4611,-47.5794,620,"2019-07-03","2022-12-31"
"A771","SAO PAULO - INTERLAGOS","SP",-23.7245,-46.6775,771,"2018-03-14","2022-12-31"
